codprov;provincia;afiliados_SS
1;Araba/Álava;163436.35
2;Albacete;148420.30
3;Alicante/Alacant;708552.00
4;Almería;324320.55
5;Ávila;55089.30
6;Badajoz;257627.30
7;Balears, Illes;458020.35
8;Barcelona;2759562.70
9;Burgos;149718.50
10;Cáceres;147445.90
11;Cádiz;393335.20
12;Castellón/Castelló;254629.35
13;Ciudad Real;175704.15
14;Córdoba;309806.50
15;Coruña, A;450891.95
16;Cuenca;80125.05
17;Girona;335336.60
18;Granada;356824.10
19;Guadalajara;99990.05
20;Gipuzkoa;330684.60
21;Huelva;211112.35
22;Huesca;102333.50
23;Jaén;253655.80
24;León;162806.30
25;Lleida;198527.55
26;Rioja, La;133865.25
27;Lugo;122473.00
28;Madrid;3524372.10
29;Málaga;668223.35
30;Murcia;631835.25
31;Navarra;299966.10
32;Ourense;103915.40
33;Asturias;372497.05
34;Palencia;63622.75
35;Palmas, Las;460551.90
36;Pontevedra;364982.25
37;Salamanca;124108.30
38;Santa Cruz de Tenerife;415021.55
39;Cantabria;223818.80
40;Segovia;63201.45
41;Sevilla;795041.20
42;Soria;40341.60
43;Tarragona;322353.05
44;Teruel;55997.50
45;Toledo;250064.25
46;Valencia/València;1109846.40
47;Valladolid;222294.05
48;Bizkaia;499956.00
49;Zamora;59296.45
50;Zaragoza;433556.70
51;Ceuta;22915.50
52;Melilla;24197.40
